Organisaatio,Y-tunnus,Myöntämisvuosi,Avustus €,Laina €,EAKR-rahoitus €,Tutkimusrahoitus €,Yhteensä €
! Aalto Avustajat Oy,2996949-9,2020,9 536,0,0,0,9 536
! Aarre Avustajat Oy,2969310-3,2020,108 560,0,0,0,108 560
0.7 design Oy,2655941-9,2015,27 600,0,0,0,27 600
0.7 design Oy,2655941-9,2016,1 530,0,0,0,1 530
0.7 design Oy,2655941-9,2018,3 120,0,0,0,3 120
0.7 design Oy,2655941-9,2019,5 400,0,0,0,5 400
1 Enormous Elephant Oy,2775076-8,2017,0,102 000,0,0,102 000
1 Enormous Elephant Oy,2775076-8,2018,0,200 000,0,0,200 000
1 solution hub Oy,2760077-8,2021,4 960,0,0,0,4 960
1. Vaasan Senioripalvelu Oy,2409326-4,2020,10 000,0,0,0,10 000
1.Accounting - Pori Oy Ab Ltd,1592041-6,2020,39 360,0,0,0,39 360
1bar Oy,2165210-4,2020,89 640,0,0,0,89 640
1dea Oy,3100480-5,2022,5 000,0,0,0,5 000
2 Com Oy,0918767-6,2020,49 000,0,0,0,49 000
2 Door Oy,2782145-8,2018,6 200,0,0,0,6 200
2 Fresh Finland Oy,3252520-7,2023,60 000,0,0,0,60 000
2 x ilo Oy,3093766-2,2020,4 960,0,0,0,4 960
2BXtreme oy,2461963-3,2020,10 000,0,0,0,10 000
2BXtreme oy,2461963-3,2021,14 760,0,0,0,14 760
2BXtreme oy,2461963-3,2022,4 162,0,0,0,4 162
2Cool Finland Oy,2583471-4,2015,0,323 000,0,0,323 000
2fi Technologies Oy,3128301-5,2020,4 960,0,0,0,4 960
2four1 Oy,3321232-5,2023,6 000,0,0,0,6 000
2General Oy,2078266-0,2010,70 666,0,0,0,70 666
2General Oy,2078266-0,2011,125 000,0,0,0,125 000
2General Oy,2078266-0,2012,147 750,0,0,0,147 750
2General Oy,2078266-0,2020,19 500,0,0,0,19 500
2LM Corporate Oy,3104911-4,2020,4 960,0,0,0,4 960
2MJ Invest Oy,3086750-2,2022,7 680,0,0,0,7 680
2N Finland Oy,2552153-1,2020,100 000,0,0,0,100 000
2nd Chance Oy,2714481-3,2017,6 200,0,0,0,6 200
2nd Concept Oy,2665622-7,2015,55 300,0,0,0,55 300
2nd Concept Oy,2665622-7,2016,0,140 000,0,0,140 000
2nd Generation Oy,2651906-2,2021,4 960,0,0,0,4 960
2ndChain Oy,2532870-7,2015,0,108 000,0,0,108 000
2ndChain Oy,2532870-7,2016,50 000,0,0,0,50 000
2ndhomes Oy,2830144-6,2020,100 000,0,0,0,100 000
2ndhomes Tampere Oy,2889484-3,2020,10 000,0,0,0,10 000
2ndRound Oy,3370144-4,2024,4 500,0,0,0,4 500
2ndServe Oy,3399400-5,2025,60 000,0,0,0,60 000
2PInvest Oy,3088411-8,2020,4 960,0,0,0,4 960
2S Consulting Oy,2780075-3,2016,0,118 000,0,0,118 000
2S Sports Oy,3087808-4,2024,4 500,0,0,0,4 500
2Up Golf Agency Oy,3231711-7,2021,4 960,0,0,0,4 960
3A-Sport Oy,0799708-5,2016,6 200,0,0,0,6 200
3AWater Oy,2968515-4,2019,56 200,0,0,0,56 200
3AWater Oy,2968515-4,2020,0,230 000,0,0,230 000
3AWater Oy,2968515-4,2023,2 400,0,0,0,2 400
3Bros Oy,2932312-9,2020,10 000,0,0,0,10 000
3D Avenue International Oy,2331489-7,2015,0,142 000,0,0,142 000
3D CONSULTING H&E Oy,2349812-0,2018,6 200,0,0,0,6 200
3D Formtech Oy,2609118-2,2020,100 000,0,0,0,100 000
3D Formtech Oy,2609118-2,2022,10 929,0,0,0,10 929
3D Formtech Oy,2609118-2,2023,14 760,0,0,0,14 760
3D Formtech Oy,2609118-2,2024,210 500,0,0,0,210 500
3D Online Factory Oy,2580685-2,2014,50 000,139 000,0,0,189 000
3D Printing Farm Oy,3344430-2,2023,6 000,0,0,0,6 000
3D Render Oy,1929166-1,2010,80 000,0,0,0,80 000
3D Studio Blomberg Ab/Oy,0687771-9,2014,21 134,0,0,0,21 134
3D Studio Blomberg Ab/Oy,0687771-9,2015,126 160,315 000,0,0,441 160
3D Talo Finland Oy,2772233-7,2017,50 000,0,0,0,50 000
3D Talo Finland Oy,2772233-7,2019,297 000,0,0,0,297 000
3D Talo Finland Oy,2772233-7,2020,130 000,0,0,0,130 000
3D Talo Finland Oy,2772233-7,2025,175 000,0,0,0,175 000
3D-Suunnittelu Jaakola Oy,3108023-4,2024,4 500,0,0,0,4 500
3DBear Oy,2778736-8,2016,50 000,0,0,0,50 000
3DBear Oy,2778736-8,2017,0,105 000,0,0,105 000
3DBear Oy,2778736-8,2018,0,321 000,0,0,321 000
3DBear Oy,2778736-8,2019,50 000,0,0,0,50 000
3DBear Oy,2778736-8,2020,100 000,0,0,0,100 000
3DBear Oy,2778736-8,2021,250 000,0,0,0,250 000
3DBear Oy,2778736-8,2023,39 990,0,0,0,39 990
3DBear Oy,2778736-8,2024,40 000,0,0,0,40 000
3DBear Oy,2778736-8,2025,0,494 750,0,0,494 750
3DFII Oy,2687142-9,2016,6 200,0,0,0,6 200
3Dreams Oy,2545658-1,2016,49 900,0,0,0,49 900
3DStep Oy,2756343-6,2017,69 000,0,0,0,69 000
3DStep Oy,2756343-6,2019,99 200,0,0,0,99 200
3DStep Oy,2756343-6,2020,115 000,0,0,0,115 000
3DStep Oy,2756343-6,2022,7 500,0,0,0,7 500
3DStep Oy,2756343-6,2023,59 000,0,0,0,59 000
3DTech Oy,2573198-5,2016,50 000,0,0,0,50 000
3DTech Oy,2573198-5,2018,0,157 000,0,0,157 000
3DTech Oy,2573198-5,2020,100 000,0,0,0,100 000
3E Building Oy,2613465-6,2017,6 200,0,0,0,6 200
3E Building Oy,2613465-6,2020,9 840,0,0,0,9 840
3E Energy Oy,2904446-1,2019,6 200,0,0,0,6 200
3elly Group Oy,2818331-2,2017,49 500,0,0,0,49 500
3ffe Balance Oy,2690667-9,2019,6 200,0,0,0,6 200
3Flash Finland Oy,3337038-2,2023,449 840,0,0,0,449 840
3GREN Oy,2341370-5,2016,99 900,0,0,0,99 900
3GREN Oy,2341370-5,2018,4 620,0,0,0,4 620
3GREN Oy,2341370-5,2019,9 807,0,0,0,9 807
3H Distribution Oy,2399979-3,2020,100 000,0,0,0,100 000
3H Valmennuskonsepti Oy,2920407-4,2020,54 700,0,0,0,54 700
3ice Oy,2612072-1,2014,32 000,0,0,0,32 000
3J Partners Oy,2187095-3,2020,100 000,0,0,0,100 000
3J Tickets Oy,3452258-7,2024,4 500,0,0,0,4 500
3K Savo Oy,2571322-6,2020,10 000,0,0,0,10 000
3M Rakennus ja Saneeraus Oy,2255541-0,2020,100 000,0,0,0,100 000
3MAR Oy,3010628-7,2020,50 000,0,0,0,50 000
3MAR Oy,3010628-7,2021,0,169 700,0,0,169 700
3MAR Oy,3010628-7,2023,250 000,0,0,0,250 000
3motion Oy,2004846-6,2014,54 000,0,0,0,54 000
3PL PROjektit Oy,3266928-6,2023,6 000,0,0,0,6 000
3PLogistiikka Turku Oy,2609211-8,2020,10 000,0,0,0,10 000
3PLogistiikka Uusimaa Oy,2731859-6,2020,10 000,0,0,0,10 000
3point Oy,2620376-2,2016,49 900,0,0,0,49 900
3point Oy,2620376-2,2018,163 000,0,0,0,163 000
3point Oy,2620376-2,2019,6 000,0,0,0,6 000
3R-Cycle Oy,3004801-3,2019,6 200,0,0,0,6 200
3rd Eye Studios Oy Ltd,2765638-4,2016,49 900,0,0,0,49 900
3rd Eye Studios Oy Ltd,2765638-4,2017,0,571 000,0,0,571 000
3S Technology Oy,3098532-2,2024,208 120,0,0,0,208 120
3S-Products Oy,2562595-5,2018,6 200,0,0,0,6 200
3Step IT Group Oy,2087590-4,2014,395 600,0,0,0,395 600
3T Ratkaisut Oy,1727842-0,2011,50 750,0,0,0,50 750
4 ARROWS Oy,2617474-6,2020,70 000,0,0,0,70 000
4 Arrows Turvapalvelut Oy,2955561-6,2020,10 000,0,0,0,10 000
4 Better Living Oy,2959175-6,2020,13 360,0,0,0,13 360
4 Feet Under Oy,2801419-9,2018,56 200,0,0,0,56 200
4 Feet Under Oy,2801419-9,2020,100 000,307 650,0,0,407 650
4 GOALIES OY,3141355-3,2024,4 500,0,0,0,4 500
4 L.Com Oy,2332827-9,2020,10 000,0,0,0,10 000
4 Me Oy,2853012-6,2019,6 200,0,0,0,6 200
4 Me Oy,2853012-6,2020,8 000,0,0,0,8 000
4 the Drivers Oy,3221203-2,2021,4 960,0,0,0,4 960
4 You Solutions Oy,3142038-2,2023,6 000,0,0,0,6 000
4Business Oy,2603001-3,2020,66 000,0,0,0,66 000
4capes Oy,2426032-5,2021,29 600,0,0,0,29 600
4Catering Oy,2478706-3,2020,26 640,0,0,0,26 640
4Coach Oy,3352651-9,2024,4 500,0,0,0,4 500
4D Haptics Oy,3374704-7,2024,4 500,0,0,0,4 500
4D Investments Finland Oy,3101015-6,2019,6 200,0,0,0,6 200
4D Optimi Isännöinti Oy,2725698-9,2020,70 200,0,0,0,70 200
4dBarn Oy,2733538-8,2017,6 200,0,0,0,6 200
4dBarn Oy,2733538-8,2018,4 855,0,0,0,4 855
4dBarn Oy,2733538-8,2020,63 794,0,0,0,63 794
4Event Oy,1647342-7,2020,83 354,0,0,0,83 354
4facts Oy,3102973-8,2020,4 960,0,0,0,4 960
4Good Games Oy,2964312-2,2019,56 200,0,0,0,56 200
4Good Games Oy,2964312-2,2020,0,195 000,0,0,195 000
4Help Oy,2866207-3,2018,6 200,0,0,0,6 200
4Help Oy,2866207-3,2020,10 000,0,0,0,10 000
4Ks Finland Oy,1495802-5,2022,5 000,0,0,0,5 000
4M Suomi Oy,1488065-1,2019,6 200,0,0,0,6 200
4M Suomi Oy,1488065-1,2020,88 000,0,0,0,88 000
4N Health Oy Ltd,3132423-5,2020,54 960,0,0,0,54 960
4Safe Oy,1031739-4,2016,99 000,0,0,0,99 000
4Safe Oy,1031739-4,2020,100 000,0,0,0,100 000
4Straction Oy,2700787-8,2015,50 000,0,0,0,50 000
4Straction Oy,2700787-8,2016,0,256 000,0,0,256 000
4Straction Oy,2700787-8,2022,0,194 500,0,0,194 500
4SUM Partners Oy,2133940-9,2010,26 600,0,0,0,26 600
4SUM Partners Oy,2133940-9,2012,73 000,0,0,0,73 000
4SUM Partners Oy,2133940-9,2018,6 200,0,0,0,6 200
4T-Konsultit Oy,0562338-9,2020,12 000,0,0,0,12 000
4th & Long Oy,2639286-6,2016,51 000,0,0,0,51 000
4TS Corporation Oy,1750284-0,2022,5 000,0,0,0,5 000
4U PRODUCTIONS OY,1923605-6,2020,4 960,0,0,0,4 960
4works Palvelut Oy,3396220-6,2024,4 500,0,0,0,4 500
5 by 5 Oy,2223133-6,2020,10 000,0,0,0,10 000
5 by 5 Oy,2223133-6,2022,0,0,0,0,0
"5 Monkeys' MOVE Oy",2987214-4,2020,10 000,0,0,0,10 000
5 More Minutes Oy Ltd.,2733052-8,2016,0,349 000,0,0,349 000
5 More Minutes Oy Ltd.,2733052-8,2017,50 000,0,0,0,50 000
5 More Minutes Oy Ltd.,2733052-8,2018,10 000,0,0,0,10 000
5MAG Entertainment Oy,2810307-9,2018,6 200,0,0,0,6 200
5th Wave Brands Oy,2570970-2,2014,49 875,0,0,0,49 875
6D Tape Oy,2762626-5,2016,50 000,0,0,0,50 000
6D Tape Oy,2762626-5,2017,0,105 000,0,0,105 000
6D Tape Oy,2762626-5,2018,2 400,0,0,0,2 400
6D Tape Oy,2762626-5,2019,3 000,0,0,0,3 000
6D Tape Oy,2762626-5,2020,23 824,0,0,0,23 824
6D Tape Oy,2762626-5,2021,14 960,0,0,0,14 960
6K Media Oy,2917374-9,2020,23 360,0,0,0,23 360
6sense Innovations Oy,0600297-1,2022,50 000,562 596,0,0,612 596
6Tinmen Oy,2410707-2,2023,6 000,0,0,0,6 000
7 Veljestä rakentaja Oy,2698943-5,2016,6 200,0,0,0,6 200
7 Veljestä rakentaja Oy,2698943-5,2020,10 000,0,0,0,10 000
7signal Oy,2017832-4,2010,376 000,443 000,0,0,819 000
7Stitches Oy,3155814-6,2020,4 960,0,0,0,4 960
8 Media Ventures Oy,3251543-9,2022,49 500,0,0,0,49 500
8-Bit Brewing Oy,2769923-7,2019,6 200,0,0,0,6 200
8M Technologies Oy,2983187-9,2019,6 200,0,0,0,6 200
8rafiki Oy,2842094-7,2017,49 950,0,0,0,49 950
8rafiki Oy,2842094-7,2018,10 000,0,0,0,10 000
8rafiki Oy,2842094-7,2019,0,128 100,0,0,128 100
8rafiki Oy,2842094-7,2020,75 200,0,0,0,75 200
9Lives Ensihoito Oy,1864320-7,2020,100 000,0,0,0,100 000
9Solutions Oy,2269554-4,2010,235 360,749 000,0,0,984 360
9Solutions Oy,2269554-4,2011,312 500,0,0,0,312 500
9Solutions Oy,2269554-4,2012,0,383 000,0,0,383 000
9Solutions Oy,2269554-4,2013,507 000,309 000,0,0,816 000
9Solutions Oy,2269554-4,2014,430 500,258 000,0,0,688 500
9Solutions Oy,2269554-4,2015,0,217 000,0,0,217 000
9Solutions Oy,2269554-4,2017,100 225,0,0,0,100 225
9Solutions Oy,2269554-4,2018,125 300,0,0,0,125 300
9Solutions Oy,2269554-4,2020,109 690,0,0,0,109 690
9Solutions Oy,2269554-4,2021,0,376 900,0,0,376 900
9xx-parts Oy,1040451-9,2020,33 600,0,0,0,33 600
10 Sports Marketing Hub Oy,3146210-1,2021,54 955,0,0,0,54 955
10 Sports Marketing Hub Oy,3146210-1,2024,50 000,0,0,0,50 000
10+ Isännöinti Oy,2702123-1,2020,85 720,0,0,0,85 720
"10Duke Software Ltd, sivuliike Suomessa",2097807-3,2020,97 136,0,0,0,97 136
10th Muse Oy,3021838-5,2019,6 200,0,0,0,6 200
10th Muse Oy,3021838-5,2020,90 000,101 000,0,0,191 000
10times Oy,1563298-3,2017,6 200,0,0,0,6 200
10times Oy,1563298-3,2020,99 600,0,0,0,99 600
10tons Oy,1857164-5,2013,100 000,0,0,0,100 000
13urlington Oy,2840940-6,2020,10 000,0,0,0,10 000
15/30 Research Oy,1635096-1,2010,0,105 000,0,0,105 000
15/30 Research Oy,1635096-1,2017,139 800,0,0,0,139 800
15/30 Research Oy,1635096-1,2020,60 000,0,0,0,60 000
15/30 Research Oy,1635096-1,2021,0,149 700,0,0,149 700
18 WHEELS OY,3309174-6,2023,6 000,0,0,0,6 000
18 WHEELS OY,3309174-6,2024,60 000,0,0,0,60 000
20Rooms Oy,2822207-8,2020,54 480,0,0,0,54 480
21 Century Gamebridge Oy,3253140-4,2022,5 000,0,0,0,5 000
21cen Oy,2434749-8,2012,33 300,0,0,0,33 300
21TDMC Group Oy,2884194-4,2018,56 200,0,0,0,56 200
21TDMC Group Oy,2884194-4,2019,0,145 900,0,0,145 900
21TDMC Group Oy,2884194-4,2020,10 000,0,0,0,10 000
23 Knots Oy,3085661-9,2024,4 500,0,0,0,4 500
24 Center Oy,2774786-8,2018,50 000,0,0,0,50 000
24 Center Oy,2774786-8,2020,110 000,0,0,0,110 000
